MODEL,AÇIKLAMA,LİSTE FİYATI
KBT-CB-2500-V5,BUFFER TANK 2500 LİTRE,3323.1600000000003
KBT-CB-3000-V5,BUFFER TANK 3000 LİTRE,3854.5200000000004
KBT-CB-4000-V5,BUFFER TANK 4000 LİTRE,6343.92
KBT-CB-5000-V5,BUFFER TANK 5000 LİTRE,8199.36
KBT-C-0100,PERDELİ BUFFER TANK 100 LİTRE,334.8
KBT-C-0300,PERDELİ BUFFER TANK 300 LİTRE,483.84000000000003
KBT-C-0500,PERDELİ BUFFER TANK 500 LİTRE,702.0
KBT-C-0800,PERDELİ BUFFER TANK 800 LİTRE,1038.96
KBT-C-1000,PERDELİ BUFFER TANK 1000 LİTRE,1163.16
KBT-C-1500,PERDELİ BUFFER TANK 1500 LİTRE,1637.2800000000002
KBT-C-2000,PERDELİ BUFFER TANK 2000 LİTRE,2229.1200000000003
KBT-C-2500,PERDELİ BUFFER TANK 2500 LİTRE,3180.6000000000004
KBT-C-3000,PERDELİ BUFFER TANK 3000 LİTRE,4019.76
KBT-C-4000,PERDELİ BUFFER TANK 4000 LİTRE,6867.72
KBT-C-5000,PERDELİ BUFFER TANK 5000 LİTRE,9078.480000000001
KEB-0100-132-0-0,ELEKTRİKLİ BOYLER 100 LİTRE - REZİSTANS İLAVESİZ,410.40000000000003
KEB-0160-232-0-0,ELEKTRİKLİ BOYLER 160 LİTRE - REZİSTANS İLAVESİZ,500.04
KEB-0200-232-0-0,ELEKTRİKLİ BOYLER 200 LİTRE - REZİSTANS İLAVESİZ,550.8000000000001
KEB-0300-232-0-0,ELEKTRİKLİ BOYLER 300 LİTRE - REZİSTANS İLAVESİZ,671.76
KEB-0500-232-0-0,ELEKTRİKLİ BOYLER 500 LİTRE - REZİSTANS İLAVESİZ,896.4000000000001
KEB-0800-350-0-0,ELEKTRİKLİ BOYLER 800 LİTRE - REZİSTANS İLAVESİZ,1399.68
KEB-1000-350-0-0,ELEKTRİKLİ BOYLER 1000 LİTRE - REZİSTANS İLAVESİZ,1531.44
KEB-1500-350-0-0,ELEKTRİKLİ BOYLER 1500 LİTRE - REZİSTANS İLAVESİZ,2049.84
KBS-0100-V6-132-3-0,TEK SERPANTİNLİ BOYLER 100 LİTRE - 1X3KW MONOFAZE - PANOSUZ,565.9200000000001
KBS-0160-V6-132-3-0,TEK SERPANTİNLİ BOYLER 160 LİTRE - 1X3KW MONOFAZE - PANOSUZ,687.96
KBS-0200-V6-132-3-0,TEK SERPANTİNLİ BOYLER 200 LİTRE - 1X3KW MONOFAZE - PANOSUZ,739.8000000000001
KBS-0200-V6-132-75-P,"TEK SERPANTİNLİ BOYLER 200 LİTRE - 1X7,5KW TRİFAZE - PANOLU",967.6800000000001
KBS-0300-0-V6-132-75-P,"TEK SERPANTİNLİ BOYLER 300 LİTRE - 1X7,5KW TRİFAZE - PANOLU",1032.48
KBS-0300-0-V6-132-10-P,TEK SERPANTİNLİ BOYLER 300 LİTRE - 1X10KW TRİFAZE - PANOLU,1056.24
KBS-0300-0-V6-232-75-P,"TEK SERPANTİNLİ BOYLER 300 LİTRE - 2X7,5KW TRİFAZE - PANOLU",1141.56
KBS-0500-V6-132-10-P,TEK SERPANTİNLİ BOYLER 500 LİTRE - 1X10KW TRİFAZE - PANOLU,1348.92
KBS-0500-V6-232-10-P,TEK SERPANTİNLİ BOYLER 500 LİTRE - 2X10KW TRİFAZE - PANOLU,1477.44
KBS-B-0800-V5.1-150-15-P,TEK SERPANTİNLİ BOYLER 800 LİTRE - 1X15KW TRİFAZE - PANOLU,1885.68
KBS-B-0800-V5.1-250-15-P,TEK SERPANTİNLİ BOYLER 800 LİTRE - 2X15KW TRİFAZE - PANOLU,2075.76
KBS-B-1000-V5.1-150-15-P,TEK SERPANTİNLİ BOYLER 1000 LİTRE - 1X15KW TRİFAZE - PANOLU,2004.48
KBS-B-1000-V5.1-250-15-P,TEK SERPANTİNLİ BOYLER 1000 LİTRE - 2X15KW TRİFAZE - PANOLU,2194.56
KBD-0160-V6-132-3-0,ÇİFT SERPANTİNLİ BOYLER 160 LİTRE - 1X3KW MONOFAZE - PANOSUZ,730.08
KBD-0200-V6-132-3-0,ÇİFT SERPANTİNLİ BOYLER 200 LİTRE - 1X3KW MONOFAZE - PANOSUZ,778.6800000000001
KBD-0200-V6-132-75-P,"ÇİFT SERPANTİNLİ BOYLER 200 LİTRE - 1X7,5KW TRİFAZE - PANOLU",1006.5600000000001
KBD-0300-0-V6-132-75-P,"ÇİFT SERPANTİNLİ BOYLER 300 LİTRE - 1X7,5KW TRİFAZE - PANOLU",1122.1200000000001
KBD-0300-0-V6-132-10-P,ÇİFT SERPANTİNLİ BOYLER 300 LİTRE - 1X10KW TRİFAZE - PANOLU,1145.88
KBD-0300-0-V6-232-75-P,"ÇİFT SERPANTİNLİ BOYLER 300 LİTRE - 2X7,5KW TRİFAZE - PANOLU",1231.2
KBD-0500-V6-132-10-P,ÇİFT SERPANTİNLİ BOYLER 500 LİTRE - 1X10KW TRİFAZE - PANOLU,1510.92
KBD-0500-V6-232-10-P,ÇİFT SERPANTİNLİ BOYLER 500 LİTRE - 2X10KW TRİFAZE - PANOLU,1639.44
KBD-B-1000-V5.1-150-15-P,ÇİFT SERPANTİNLİ BOYLER 1000 LİTRE - 1X15KW TRİFAZE - PANOLU,2247.48
KBD-B-1000-V5.1-250-15-P,ÇİFT SERPANTİNLİ BOYLER 1000 LİTRE - 2X15KW TRİFAZE - PANOLU,2437.56
KXS-0300-V5.1-132-3-0,ISI POMPASI BOYLERİ 300 LİTRE - 1X3KW MONOFAZE - PANOSUZ,879.1200000000001
